시군구코드,시군구명,기준분기,유동인구,유동_남,유동_여,유동_10,유동_20,유동_30,유동_40,유동_50,유동_60이상,상주인구,총가구수,아파트가구,비아파트가구,직장인구
11305,강북구,20224,96763700,44601147,52162548,13731629,13561959,12296381,14391006,15708903,27073821,316990,145867,0,145867,15383
11305,강북구,20231,97300943,45007805,52293136,13756816,13530830,12400401,14512223,15846103,27254566,316990,145867,0,145867,15383
11305,강북구,20232,95336387,43885418,51450970,13610491,13472632,12224988,14159009,15516450,26352813,316990,145867,0,145867,15383
11305,강북구,20233,95208378,43959314,51249060,13431427,13406084,12246729,14110018,15548228,26465886,316990,145867,0,145867,15383
11305,강북구,20234,95197227,43912485,51284746,13674849,13474242,12235336,14119744,15515287,26177766,287918,143436,0,143436,17226
11305,강북구,20241,95668305,44300664,51367639,13572969,13344981,12323806,14276158,15674632,26475757,287918,143436,0,143436,17226
11305,강북구,20242,93656261,43035821,50620441,13274489,13240664,12017038,14005659,15366563,25751863,287918,143436,0,143436,17226
11305,강북구,20243,91978077,42439438,49538635,12737855,12884781,11705175,13819200,15186182,25644886,287918,143436,0,143436,17226
11305,강북구,20244,91622385,42019173,49603214,12718854,13026207,11651498,13809080,15081291,25335449,287918,143436,0,143436,14740
11305,강북구,20251,91794978,42365797,49429179,12567859,12917972,11768304,13794971,15203114,25542758,287918,143436,0,143436,14740
11305,강북구,20252,89655066,41073789,48581276,12383307,12855419,11509777,13476753,14808755,24621062,287918,143436,0,143436,14740
11305,강북구,20253,87341148,40013874,47327275,11945807,12433346,11178585,13043961,14553518,24185934,287918,143436,0,143436,14740
11305,강북구,20254,87372581,39973003,47399574,12077142,12574584,11180357,13053147,14513790,23973559,287918,143436,0,143436,14740
11305,강북구,20261,88068471,40441020,47627455,12221893,12547453,11270079,13227807,14727914,24073330,287918,143436,0,143436,14740
11320,도봉구,20211,68705742,31855277,36850468,10630905,8492834,8971439,10108200,11048311,19454063,325263,139077,0,139077,19769
11320,도봉구,20212,67014828,30957738,36057096,10444157,8337575,8690034,9860706,10728459,18953895,325263,139077,0,139077,19769
11320,도봉구,20213,66865957,30988047,35877910,10339278,8268807,8687664,9828725,10741938,18999544,325263,139077,0,139077,19769
11320,도봉구,20214,66425927,30689502,35736424,10344790,8152400,8624299,9736824,10697578,18870040,325263,139077,0,139077,20358
11320,도봉구,20221,66984664,31140590,35844076,10354405,8193755,8766850,9834102,10866877,18968678,325263,139077,0,139077,20358
11320,도봉구,20222,66497210,30827844,35669364,10523370,8018523,8640553,9743704,10723964,18847102,325263,139077,0,139077,20358
11320,도봉구,20223,64934301,30149800,34784497,10229726,7778613,8438941,9521855,10496665,18468499,325263,139077,0,139077,20358
11320,도봉구,20224,64574930,29895617,34679309,10303575,7701886,8399148,9500396,10381015,18288906,341355,139077,0,139077,19687
11320,도봉구,20231,64902963,30202104,34700856,10290923,7723726,8426210,9548058,10469828,18444228,341355,139077,0,139077,19687
11320,도봉구,20232,63347600,29288172,34059425,9985404,7645309,8222737,9294720,10308526,17890898,341355,139077,0,139077,19687
11320,도봉구,20233,62935824,29126972,33808854,9835629,7526177,8130094,9229223,10308886,17905814,341355,139077,0,139077,19687
11320,도봉구,20234,63548033,29403068,34144965,10018436,7588420,8198392,9343453,10419818,17979510,306437,137870,0,137870,19603
11320,도봉구,20241,63874165,29708001,34166167,9935247,7593086,8251751,9412828,10517521,18163738,306437,137870,0,137870,19603
11320,도봉구,20242,61564113,28375585,33188528,9493170,7397868,7994160,9083418,10118490,17477009,306437,137870,0,137870,19603
11320,도봉구,20243,62227971,28759831,33468133,9360210,7494671,8138061,9205797,10202854,17826372,306437,137870,0,137870,19603
11320,도봉구,20244,61436192,28369483,33066706,9330234,7450553,7998180,9071901,9993489,17591835,306437,137870,0,137870,20112
11320,도봉구,20251,62282365,28968312,33314057,9347692,7519520,8143947,9196357,10174746,17900098,306437,137870,0,137870,20112
11320,도봉구,20252,60927301,28130252,32797051,9203212,7424300,7932148,9035934,9962364,17369349,306437,137870,0,137870,20112
11320,도봉구,20253,60369809,27926849,32442961,9174941,7270660,7761468,8950421,9903483,17308845,306437,137870,0,137870,20112
11320,도봉구,20254,60391786,27977564,32414223,9261182,7269186,7811950,8981745,9853304,17214415,306437,137870,0,137870,20112
11320,도봉구,20261,61099851,28347136,32752711,9402568,7331838,7874839,9094738,9957674,17438196,306437,137870,0,137870,20112
11350,노원구,20211,105645763,48743200,56902563,19698958,14325796,12639526,16101672,16337739,26542074,523074,218211,0,218211,25505
11350,노원구,20212,104061747,47884488,56177256,19700000,14312351,12360993,15693543,15988204,26006662,523074,218211,0,218211,25505
11350,노원구,20213,102094644,46938505,55156142,18885627,13780308,12278195,15419927,15877199,25853387,523074,218211,0,218211,25505
11350,노원구,20214,100993228,46480193,54513035,18854682,13713823,12153609,15145877,15590263,25534971,523074,218211,0,218211,30225
