소분류코드,소분류명,시도코드,시도명,시군구코드,시군구명,사업체수
G20602,주류 소매업,11,서울특별시,11380,은평구,6
G20602,주류 소매업,11,서울특별시,11410,서대문구,12
G20602,주류 소매업,11,서울특별시,11440,마포구,20
G20602,주류 소매업,11,서울특별시,11470,양천구,9
G20602,주류 소매업,11,서울특별시,11500,강서구,7
G20602,주류 소매업,11,서울특별시,11530,구로구,5
G20602,주류 소매업,11,서울특별시,11545,금천구,2
G20602,주류 소매업,11,서울특별시,11560,영등포구,24
G20602,주류 소매업,11,서울특별시,11590,동작구,4
G20602,주류 소매업,11,서울특별시,11620,관악구,4
G20602,주류 소매업,11,서울특별시,11650,서초구,58
G20602,주류 소매업,11,서울특별시,11680,강남구,101
G20602,주류 소매업,11,서울특별시,11710,송파구,37
G20602,주류 소매업,11,서울특별시,11740,강동구,10
G20603,생수/음료 소매업,11,서울특별시,11110,종로구,9
G20603,생수/음료 소매업,11,서울특별시,11140,중구,9
G20603,생수/음료 소매업,11,서울특별시,11170,용산구,11
G20603,생수/음료 소매업,11,서울특별시,11200,성동구,8
G20603,생수/음료 소매업,11,서울특별시,11215,광진구,4
G20603,생수/음료 소매업,11,서울특별시,11230,동대문구,8
G20603,생수/음료 소매업,11,서울특별시,11260,중랑구,10
G20603,생수/음료 소매업,11,서울특별시,11290,성북구,9
G20603,생수/음료 소매업,11,서울특별시,11305,강북구,7
G20603,생수/음료 소매업,11,서울특별시,11320,도봉구,7
G20603,생수/음료 소매업,11,서울특별시,11350,노원구,8
G20603,생수/음료 소매업,11,서울특별시,11380,은평구,6
G20603,생수/음료 소매업,11,서울특별시,11410,서대문구,5
G20603,생수/음료 소매업,11,서울특별시,11440,마포구,9
G20603,생수/음료 소매업,11,서울특별시,11470,양천구,5
G20603,생수/음료 소매업,11,서울특별시,11500,강서구,14
G20603,생수/음료 소매업,11,서울특별시,11530,구로구,10
G20603,생수/음료 소매업,11,서울특별시,11545,금천구,5
G20603,생수/음료 소매업,11,서울특별시,11560,영등포구,12
G20603,생수/음료 소매업,11,서울특별시,11590,동작구,1
G20603,생수/음료 소매업,11,서울특별시,11620,관악구,9
G20603,생수/음료 소매업,11,서울특별시,11650,서초구,17
G20603,생수/음료 소매업,11,서울특별시,11680,강남구,23
G20603,생수/음료 소매업,11,서울특별시,11710,송파구,16
G20603,생수/음료 소매업,11,서울특별시,11740,강동구,14
G20604,우유 소매업,11,서울특별시,11110,종로구,1
G20604,우유 소매업,11,서울특별시,11140,중구,3
G20604,우유 소매업,11,서울특별시,11170,용산구,3
G20604,우유 소매업,11,서울특별시,11215,광진구,5
G20604,우유 소매업,11,서울특별시,11230,동대문구,1
G20604,우유 소매업,11,서울특별시,11260,중랑구,3
G20604,우유 소매업,11,서울특별시,11290,성북구,2
G20604,우유 소매업,11,서울특별시,11305,강북구,2
G20604,우유 소매업,11,서울특별시,11350,노원구,2
G20604,우유 소매업,11,서울특별시,11380,은평구,3
G20604,우유 소매업,11,서울특별시,11410,서대문구,1
G20604,우유 소매업,11,서울특별시,11440,마포구,2
G20604,우유 소매업,11,서울특별시,11470,양천구,4
G20604,우유 소매업,11,서울특별시,11500,강서구,5
G20604,우유 소매업,11,서울특별시,11530,구로구,4
G20604,우유 소매업,11,서울특별시,11545,금천구,5
G20604,우유 소매업,11,서울특별시,11560,영등포구,5
G20604,우유 소매업,11,서울특별시,11590,동작구,3
G20604,우유 소매업,11,서울특별시,11620,관악구,1
G20604,우유 소매업,11,서울특별시,11650,서초구,4
G20604,우유 소매업,11,서울특별시,11680,강남구,3
